country,tax_rate,unempl_rate,edu_index,health_index,corruption_rank,democracy_index,personal_freedom,economic_freedom,human_freedom,inflation,median_age,life_expectancy,social_mobility,press_score,gdp_per_capita,literacy_rate,infant_mortality,political_rights,civil_liberties,hdi,crime_index,safety_index,epi,pollution,safety,law_index,happiness,gini,gdp_growth,voting_age,reg_voters,opportunity,share_agriculture,avg_temperature,suicide_total,suicide_male,suicide_female,perc_urban_pop,urban_rate
Niger,N/A,0.7,0.214,N/A,123,3.29,5.92,5.83,5.87,2.4,15,62.4,N/A,28.44,1019,19.1,116.6,20,28,0.394,N/A,N/A,30.8,N/A,N/A,-0.53,4.91,34.3,1.2,N/A,N/A,136,37.81,27.15,5.3,7.2,3.3,16,4.27
Nigeria,24,33.3,0.483,48.52,149,4.1,5.9,6.86,6.38,16.5,17.8,54.7,N/A,39.69,5887,62,94.3,21,24,0.539,64.06,35.94,31,87.7,36.23,-0.9,4.724,43,-1.79,N/A,N/A,112,21.91,26.8,3.5,5,1.9,52,4.23
Niue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46,1.69
North Korea,N/A,4.7,N/A,N/A,170,1.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.28,N/A,100,51.3,0,3,N/A,N/A,N/A,N/A,N/A,N/A,-1.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.7,9.4,11.2,7.6,62,0.82
North Macedonia,N/A,N/A,N/A,56.37,111,5.89,7.66,7.02,7.34,N/A,N/A,N/A,N/A,31.67,15290,97.8,N/A,27,39,0.774,39.12,60.88,55.4,79.75,61.33,-0.24,N/A,35.6,N/A,N/A,N/A,N/A,8.05,9.8,9.4,13.9,4.8,N/A,N/A
Northern Cyprus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.82,N/A,N/A,N/A,28,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northern Mariana Islands,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3,N/A,N/A,N/A,N/A,N/A,N/A,6.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91,0.29
Norway,38.2,5.1,0.915,75.59,7,9.81,9.26,7.62,8.44,1.9,39,82.9,83.6,6.72,62183,N/A,3.5,40,60,0.957,33.72,66.28,77.7,18.09,64.57,1.98,7.488,27.5,-0.76,70.59,78.22,15,1.93,1.5,11.8,15.8,7.7,83,1.4
Oman,0,5,0.706,58.42,49,3,5.2,6.76,5.98,1.6,N/A,N/A,N/A,43.37,41331,95.7,16.8,6,17,0.813,20.34,79.66,38.5,37.21,79.21,0.55,N/A,N/A,-6.36,N/A,N/A,49,2.35,25.6,4.9,6.8,1,86,5.25
Pakistan,35,4.4,0.411,60.04,124,4.31,5.47,5.91,5.69,4.1,22.5,67.3,36.7,46.86,5539,59.1,65.1,15,22,0.557,42.51,57.49,33.1,73.41,55.92,-0.67,5.693,33.5,-0.38,N/A,N/A,115,22.04,20.2,8.9,13.3,4.3,37,2.53
